Provincia,Departamento,Cant_Expo_Mujeres,Cant_EE,Población
CORDOBA,CAPITAL,1296.0,1136,1498060.0
BUENOS AIRES,LA MATANZA,864.0,977,1837168.0
SANTA FE,ROSARIO,1425.0,817,1337958.0
BUENOS AIRES,LA PLATA,233.0,669,756074.0
BUENOS AIRES,LOMAS DE ZAMORA,329.0,548,685644.0
BUENOS AIRES,GENERAL PUEYRREDON,793.0,535,660569.0
BUENOS AIRES,QUILMES,414.0,464,631774.0
SANTA FE,LA CAPITAL,337.0,463,568259.0
CHACO,SAN FERNANDO,200.0,458,413764.0
ENTRE RIOS,PARANA,275.0,439,388716.0
BUENOS AIRES,ALMIRANTE BROWN,255.0,417,583209.0
TUCUMAN,CAPITAL,286.0,400,587289.0
RIO NEGRO,GENERAL ROCA,529.0,383,379627.0
BUENOS AIRES,MORENO,207.0,369,575758.0
BUENOS AIRES,LANUS,400.0,362,460081.0
CHACO,GENERAL GUEMES,4.0,361,68429.0
CORDOBA,SAN JUSTO,288.0,358,228951.0
BUENOS AIRES,MERLO,92.0,357,581484.0
NEUQUEN,CONFLUENCIA,541.0,346,467217.0
BUENOS AIRES,TIGRE,572.0,339,446291.0
CORDOBA,RIO CUARTO,268.0,338,277979.0
FORMOSA,PATIÑO,7.0,313,81600.0
MISIONES,CAPITAL,168.0,308,391498.0
BUENOS AIRES,PILAR,596.0,306,393614.0
BUENOS AIRES,AVELLANEDA,522.0,301,366117.0
BUENOS AIRES,GENERAL SAN MARTIN,791.0,298,444503.0
SALTA,CAPITAL,360.0,297,624003.0
BUENOS AIRES,FLORENCIO VARELA,101.0,295,488103.0
BUENOS AIRES,BERAZATEGUI,193.0,288,358328.0
BUENOS AIRES,MORON,338.0,287,329517.0
BUENOS AIRES,BAHIA BLANCA,282.0,287,334505.0
SANTIAGO DEL ESTERO,CAPITAL,103.0,282,328824.0
BUENOS AIRES,SAN ISIDRO,935.0,276,295978.0
BUENOS AIRES,TRES DE FEBRERO,493.0,275,362319.0
CORRIENTES,CAPITAL,113.0,271,437446.0
BUENOS AIRES,SAN MIGUEL,99.0,269,327650.0
SANTA FE,GENERAL OBLIGADO,116.0,266,197533.0
CORDOBA,COLON,175.0,259,294511.0
MISIONES,OBERA,84.0,259,120703.0
BUENOS AIRES,VICENTE LOPEZ,1122.0,252,280541.0
MENDOZA,SAN RAFAEL,186.0,252,213204.0
JUJUY,DR. MANUEL BELGRANO,91.0,249,319469.0
SANTA FE,CASTELLANOS,250.0,246,189464.0
FORMOSA,FORMOSA,71.0,246,268572.0
MISIONES,GUARANI,18.0,241,77075.0
SANTA FE,GENERAL LOPEZ,288.0,239,200455.0
FORMOSA,PIRANE,11.0,234,72560.0
BUENOS AIRES,MALVINAS ARGENTINAS,403.0,227,349401.0
BUENOS AIRES,ESCOBAR,317.0,218,256071.0
SANTIAGO DEL ESTERO,BANDA,26.0,217,170401.0
BUENOS AIRES,ESTEBAN ECHEVERRIA,144.0,208,337880.0
CORDOBA,UNION,102.0,202,113635.0
CORDOBA,PUNILLA,129.0,201,219494.0
MENDOZA,GUAYMALLEN,335.0,200,320871.0
SANTA FE,LAS COLONIAS,155.0,200,114730.0
MISIONES,CAINGUAS,43.0,194,59875.0
LA RIOJA,CAPITAL,135.0,185,210507.0
CHUBUT,ESCALANTE,241.0,184,214829.0
ENTRE RIOS,CONCORDIA,135.0,184,197603.0
SANTA FE,SAN CRISTOBAL,27.0,182,72593.0
SAN LUIS,JUAN MARTIN DE PUEYRREDON,217.0,180,260769.0
ENTRE RIOS,GUALEGUAYCHU,101.0,180,125176.0
BUENOS AIRES,OLAVARRIA,93.0,180,122011.0
MENDOZA,CAPITAL,367.0,179,123715.0
CORDOBA,GENERAL SAN MARTIN,149.0,175,152397.0
BUENOS AIRES,TANDIL,93.0,174,144678.0
BUENOS AIRES,JOSE C. PAZ,32.0,174,326527.0
MISIONES,GENERAL MANUEL BELGRANO,9.0,174,45456.0
FORMOSA,PILCOMAYO,14.0,172,94116.0
BUENOS AIRES,SAN FERNANDO,187.0,168,171099.0
SAN JUAN,CAPITAL,181.0,168,114849.0
BUENOS AIRES,SAN NICOLAS,59.0,167,166657.0
CORDOBA,MARCOS JUAREZ,116.0,165,107286.0
MISIONES,SAN IGNACIO,11.0,164,63194.0
CHACO,LIBERTADOR GENERAL SAN MARTIN,6.0,164,65304.0
RIO NEGRO,BARILOCHE,141.0,163,161443.0
CORDOBA,SANTA MARIA,105.0,162,139012.0
CORDOBA,RIO SEGUNDO,126.0,161,113311.0
CORDOBA,TERCERO ARRIBA,110.0,161,120207.0
CORRIENTES,GOYA,28.0,161,106223.0
CHUBUT,RAWSON,133.0,159,144420.0
ENTRE RIOS,URUGUAY,76.0,158,115516.0
TUCUMAN,CRUZ ALTA,68.0,158,227688.0
CABA,COMUNA 1,2934.0,157,221001.0
BUENOS AIRES,PERGAMINO,164.0,155,114988.0
SALTA,GENERAL JOSE DE SAN MARTIN,53.0,155,177448.0
CABA,COMUNA 4,702.0,154,227024.0
MISIONES,IGUAZU,36.0,150,99838.0
MENDOZA,GODOY CRUZ,216.0,149,194557.0
CHACO,COMANDANTE FERNANDEZ,24.0,149,101086.0
BUENOS AIRES,LUJAN,96.0,147,110111.0
CORDOBA,CRUZ DEL EJE,15.0,145,64748.0
BUENOS AIRES,EZEIZA,144.0,144,198620.0
MENDOZA,MAIPU,359.0,143,218887.0
BUENOS AIRES,HURLINGHAM,128.0,143,185361.0
BUENOS AIRES,ITUZAINGO,114.0,141,177983.0
MENDOZA,LAS HERAS,94.0,141,233839.0
ENTRE RIOS,LA PAZ,29.0,141,75271.0
SANTA FE,VERA,14.0,141,55463.0
MISIONES,ELDORADO,40.0,138,91133.0
CORDOBA,RIO PRIMERO,58.0,136,58181.0
CABA,COMUNA 13,716.0,135,262330.0
LA PAMPA,CAPITAL,74.0,135,118504.0
ENTRE RIOS,VILLAGUAY,32.0,135,55284.0
SANTA FE,SAN LORENZO,243.0,133,193786.0
CATAMARCA,CAPITAL,108.0,132,186466.0
BUENOS AIRES,NECOCHEA,49.0,132,101483.0
MISIONES,LEANDRO N. ALEM,28.0,132,49391.0
BUENOS AIRES,ZARATE,112.0,131,131415.0
MISIONES,25 DE MAYO,1.0,130,30877.0
MENDOZA,SAN MARTIN,134.0,129,139406.0
BUENOS AIRES,JUNIN,112.0,129,100964.0
BUENOS AIRES,CAMPANA,100.0,129,107976.0
CATAMARCA,BELEN,12.0,129,30353.0
CABA,COMUNA 8,226.0,127,203888.0
CORDOBA,CALAMUCHITA,29.0,127,75462.0
MISIONES,SAN PEDRO,0.0,127,34690.0
SANTA FE,SAN JERONIMO,77.0,126,84617.0
BUENOS AIRES,AZUL,33.0,126,75152.0
ENTRE RIOS,NOGOYA,21.0,126,42954.0
SANTIAGO DEL ESTERO,RIO HONDO,1.0,126,66637.0
FORMOSA,BERMEJO,0.0,125,15600.0
CABA,COMUNA 14,918.0,124,247252.0
CABA,COMUNA 12,509.0,124,235364.0
SALTA,RIVADAVIA,0.0,124,38062.0
CABA,COMUNA 11,367.0,122,201905.0
CABA,COMUNA 3,427.0,120,193537.0
CABA,COMUNA 7,274.0,120,213262.0
SALTA,ORAN,63.0,119,159715.0
CABA,COMUNA 9,395.0,118,167908.0
SAN LUIS,GENERAL PEDERNERA,136.0,116,148671.0
SANTA CRUZ,GUER AIKE,111.0,114,137309.0
CORDOBA,SAN JAVIER,18.0,114,62700.0
CABA,COMUNA 10,240.0,113,171896.0
ENTRE RIOS,FEDERACION,50.0,113,78264.0
BUENOS AIRES,MERCEDES,58.0,112,71002.0
MISIONES,LIBERTADOR GENERAL SAN MARTIN,27.0,112,52166.0
SANTIAGO DEL ESTERO,PELLEGRINI,2.0,111,26193.0
BUENOS AIRES,CHIVILCOY,54.0,110,70554.0
FORMOSA,RAMON LISTA,0.0,109,17678.0
MENDOZA,LUJAN DE CUYO,421.0,108,171883.0
SAN JUAN,RAWSON,51.0,108,136582.0
CORDOBA,JUAREZ CELMAN,149.0,107,68317.0
SANTA CRUZ,DESEADO,149.0,107,126266.0
CABA,COMUNA 15,685.0,105,195265.0
SANTA FE,IRIONDO,101.0,105,73636.0
CORDOBA,SAN ALBERTO,9.0,105,42029.0
SANTIAGO DEL ESTERO,COPO,2.0,105,35653.0
BUENOS AIRES,GENERAL RODRIGUEZ,79.0,104,142315.0
BUENOS AIRES,TRENQUE LAUQUEN,56.0,104,49128.0
SANTIAGO DEL ESTERO,FIGUEROA,0.0,104,20246.0
SANTIAGO DEL ESTERO,MORENO,19.0,103,40352.0
TUCUMAN,LEALES,14.0,103,66352.0
BUENOS AIRES,25 DE MAYO,9.0,103,35411.0
SANTA FE,9 DE JULIO,24.0,102,30942.0
BUENOS AIRES,SAN PEDRO,64.0,101,68353.0
TUCUMAN,TAFI VIEJO,59.0,101,172877.0
BUENOS AIRES,TRES ARROYOS,62.0,100,61889.0
CORRIENTES,ESQUINA,10.0,99,39168.0
RIO NEGRO,ADOLFO ALSINA,34.0,98,63845.0
CATAMARCA,LA PAZ,9.0,98,26341.0
SANTA FE,SAN MARTIN,76.0,97,67299.0
BUENOS AIRES,CAÑUELAS,58.0,97,70542.0
ENTRE RIOS,DIAMANTE,30.0,97,52312.0
JUJUY,SAN PEDRO,15.0,97,88237.0
CHACO,ALMIRANTE BROWN,8.0,97,37794.0
CABA,COMUNA 5,312.0,94,192449.0
BUENOS AIRES,LINCOLN,30.0,93,45191.0
BUENOS AIRES,CHACABUCO,53.0,92,52409.0
BUENOS AIRES,9 DE JULIO,39.0,92,52366.0
SANTA FE,CASEROS,86.0,91,86261.0
SANTA FE,CONSTITUCION,71.0,90,93000.0
JUJUY,EL CARMEN,30.0,90,122259.0
CABA,COMUNA 6,280.0,89,201764.0
MENDOZA,LAVALLE,28.0,89,47086.0
CHACO,MAYOR LUIS J. FONTANA,24.0,89,59798.0
ENTRE RIOS,VICTORIA,23.0,89,40301.0
BUENOS AIRES,BALCARCE,67.0,88,48516.0
BUENOS AIRES,CORONEL SUAREZ,34.0,88,41713.0
CATAMARCA,SANTA MARIA,8.0,88,26822.0
CATAMARCA,TINOGASTA,7.0,88,25254.0
SANTIAGO DEL ESTERO,CHOYA,0.0,88,43692.0
CORRIENTES,SANTO TOME,59.0,87,71922.0
SALTA,ANTA,27.0,87,69442.0
TUCUMAN,BURRUYACU,9.0,87,45459.0
ENTRE RIOS,COLON,59.0,86,74890.0
ENTRE RIOS,GUALEGUAY,48.0,86,56796.0
SANTA FE,SAN JUSTO,26.0,86,46486.0
CHACO,QUITILIPI,1.0,86,32430.0
BUENOS AIRES,PEHUAJO,32.0,85,44594.0
BUENOS AIRES,BOLIVAR,23.0,85,37194.0
SANTIAGO DEL ESTERO,LORETO,2.0,85,24047.0
CORRIENTES,CURUZU CUATIA,20.0,84,51489.0
MENDOZA,GENERAL ALVEAR,35.0,83,52379.0
BUENOS AIRES,CHASCOMUS,23.0,83,42191.0
SANTIAGO DEL ESTERO,ALBERDI,6.0,83,20104.0
SANTIAGO DEL ESTERO,AVELLANEDA,2.0,83,25462.0
SAN JUAN,RIVADAVIA,15.0,82,101334.0
FORMOSA,PILAGAS,2.0,82,19089.0
TIERRA DEL FUEGO,RIO GRANDE,71.0,81,98922.0
BUENOS AIRES,LOBOS,28.0,81,41418.0
CABA,COMUNA 2,564.0,80,160609.0
BUENOS AIRES,GENERAL VILLEGAS,39.0,80,35055.0
BUENOS AIRES,SAN VICENTE,22.0,80,97929.0
SANTIAGO DEL ESTERO,ROBLES,9.0,80,53879.0
CHACO,MAIPU,2.0,80,26354.0
CHUBUT,BIEDMA,115.0,79,102806.0
BUENOS AIRES,BERISSO,17.0,79,100685.0
TUCUMAN,CHICLIGASTA,14.0,79,92308.0
ENTRE RIOS,FEDERAL,2.0,79,29436.0
BUENOS AIRES,SALADILLO,32.0,78,35423.0
CORRIENTES,LAVALLE,2.0,78,40406.0
BUENOS AIRES,BARADERO,25.0,77,39223.0
CORRIENTES,BELLA VISTA,18.0,77,44369.0
SANTIAGO DEL ESTERO,GENERAL TABOADA,2.0,77,46304.0
SAN JUAN,JACHAL,18.0,76,25269.0
CHUBUT,FUTALEUFU,31.0,75,49965.0
MISIONES,APOSTOLES,26.0,75,50503.0
JUJUY,LEDESMA,15.0,75,94132.0
BUENOS AIRES,VILLARINO,53.0,74,32552.0
BUENOS AIRES,SAN ANDRES DE GILES,20.0,74,26399.0
BUENOS AIRES,CORONEL DE MARINA LEONARDO ROSALES,13.0,74,65823.0
TUCUMAN,SIMOCA,3.0,74,36946.0
SANTIAGO DEL ESTERO,JIMENEZ,2.0,74,18622.0
BUENOS AIRES,LA COSTA,39.0,73,100400.0
SAN LUIS,AYACUCHO,9.0,73,23653.0
CORDOBA,ISCHILIN,2.0,72,36023.0
MENDOZA,SAN CARLOS,106.0,71,39752.0
SANTIAGO DEL ESTERO,JUAN FELIPE IBARRA,0.0,71,20567.0
TUCUMAN,MONTEROS,31.0,70,77469.0
CORDOBA,GENERAL ROCA,27.0,70,36064.0
BUENOS AIRES,PATAGONES,22.0,70,37499.0
CORDOBA,PRESIDENTE ROQUE SAENZ PEÑA,34.0,69,37551.0
BUENOS AIRES,AYACUCHO,6.0,69,21757.0
MISIONES,MONTECARLO,25.0,68,38620.0
ENTRE RIOS,TALA,10.0,68,31091.0
CATAMARCA,CAPAYAN,0.0,68,19471.0
SAN JUAN,POCITO,51.0,67,72879.0
CORRIENTES,MERCEDES,25.0,67,49807.0
MENDOZA,TUNUYAN,136.0,66,59972.0
TUCUMAN,YERBA BUENA,94.0,66,102589.0
LA RIOJA,CHILECITO,50.0,66,58681.0
SAN JUAN,CHIMBAS,47.0,66,103772.0
CORRIENTES,MONTE CASEROS,21.0,66,45602.0
CORRIENTES,GENERAL PAZ,3.0,66,17016.0
TIERRA DEL FUEGO,USHUAIA,81.0,65,80009.0
LA PAMPA,MARACO,79.0,65,69067.0
MENDOZA,RIVADAVIA,70.0,65,63589.0
TUCUMAN,LULES,51.0,65,93464.0
BUENOS AIRES,LAS FLORES,9.0,65,27136.0
BUENOS AIRES,MARCOS PAZ,32.0,64,64761.0
CORRIENTES,ITUZAINGO,26.0,64,38767.0
SANTA FE,SAN JAVIER,11.0,64,33180.0
MENDOZA,JUNIN,38.0,63,46472.0
