LU,Altura (cm),Sexo,Mami,Â¿Sabes quien mas mide 156?,Mi mamiiii,,,
1224/24,180,M,160,,,,Promedio alturas,
572/23,162,F,,,,,171.7058824,
559/24,170,M,155,,,,Promedio M,Promedio F
1146/24,183,M,168,,,,176.1935484,164.75
1120/24,203,M,170,,,,,
1113/24,170,M,155,,,m=masculino,Promedio...,
1255/24,182,M,152,,,f=femenino,,
1166/24,188,M,170,,,,,
1091/24,155,F,,,170.8,,,
646/24,175,M,162,,,,,
699/24,172,F,,,,,,
854/24,163,F,,,,,,
1063/24,155,F,,,,,,
1190/24,180,M,165,,,,,
615/23,180,M,170,,,,,
1319/24,172,M,156,,,,,
610/25,170,M,162,,,,,
1314/24,167,F,,,,,,
1367/24,169,M,159,,,,,
1310/24,184,M,169,,,,,
690/25,165,F,,,,,,
1283/24,165,F,158,,,,,
500/19,178,F,,,,,,
356/19,160,F,,,,,,
120/24,171,M,151,,,,,
1178/23,165,F,,,,,,
1235/24,198,M,165,,,,,
156/23,162,M,158,,,,157.3333333,
434/25,178,M,163,,,,,
1258/24,176,M,160,,,,,
1379/24,170,M,171,,,,,
1048/24,178,M,160,,,,,
123/24,200,F,180,,,,,
1244/23,172,M,160,,,,,
1333/23,,M,173,,,,,
1341/23,173,M,160,,,,,
137/25,180,M,168,,,,,
,154,F,,,,,,
1055/24,166,F,,,,,,
1030/24,171,F,160,,,,,
1060/24,155,F,157,,,,,
1284/22,145,M,161,,,,,
139/24,150,F,,,,,,
951/24,180,M,158,,,,318,
558/24,176,M,168,,,,,
532/22,173,M,167,,,,,
610/23,178,M,162,,,,,
496-24,180,M,164,,,,,
270/24,166,F,,,,,,
966/24,166,M,159,,,,,
871/23,160,F,,,,,,
933/24,166,F,165,,,,,